Park,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Redwood,1981,17493,17545,25734,36115,46132,70230,94825,107092,61548,37740,18829,16178
Redwood,1980,19593,19397,25132,26851,33505,52414,78046,74621,56715,35561,20664,29211
Redwood,1979,15362,17152,27470,24690,26229,64665,58222,55654,51708,31110,22668,18987
Sequoia,2025,51845,40294,74414,104655,138749,161775,200392,195347,146996,122794,79477,61599
Sequoia,2024,48087,38250,67764,88326,137566,123835,212834,199189,148582,117625,71510,56005
Sequoia,2023,26006,31190,5214,29029,73576,87230,186932,171867,142544,106350,68745,51884
Sequoia,2022,32564,39182,58365,86412,121934,135869,188020,170284,127041,96663,55800,41064
Sequoia,2021,65177,54162,79431,103101,134360,162201,182423,155567,50597,22545,25406,24578
Sequoia,2020,46368,48821,16625,0,0,52901,194892,187702,88313,65370,66044,29050
Sequoia,2019,36024,28737,63343,93054,119816,153882,193633,190139,144639,118187,59502,45097
Sequoia,2018,39678,41244,65934,84169,131687,156039,193884,184413,135576,83442,54590,58938
Sequoia,2017,28877,27306,58609,94141,131584,169618,232403,200337,147224,89252,58403,53502
Sequoia,2016,41007,33815,59292,73518,127056,160327,221476,191657,150580,92679,57513,45768
Sequoia,2015,35320,29613,53100,68602,113812,139746,197117,173943,124126,70954,48251,42880
Sequoia,2014,25825,26877,48135,70926,101054,135952,179033,180619,112109,70260,45885,42462
Sequoia,2013,24429,21262,43242,50937,98904,147445,161286,162352,105351,28702,37328,28036
Sequoia,2012,30112,28557,45541,59186,108045,123538,178374,255984,147491,69775,32886,27095
Sequoia,2011,29303,21913,41621,66501,111466,120708,184262,183238,112027,67767,37787,29990
Sequoia,2010,30283,21838,37947,53237,100412,124164,198203,173300,125658,70483,39095,28359
Sequoia,2009,27347,25630,50551,57885,106045,116902,172196,166989,104422,69113,37215,30875
Sequoia,2008,27643,28943,47827,49940,100694,111533,166615,176568,90212,61435,38753,29848
Sequoia,2007,29878,28433,44561,60206,103903,121408,167721,167421,106067,69940,47773,32226
Sequoia,2006,32103,30055,42372,57708,104572,115062,162584,158372,107311,73627,37129,33612
Sequoia,2005,32102,28188,43344,55739,111303,123919,170938,176490,108674,71964,49402,32780
Sequoia,2004,32957,31324,46987,62543,103991,120331,196589,169686,97919,68789,39547,29514
Sequoia,2003,34021,25170,36300,56662,117788,132100,169873,167864,94607,73412,36007,35493
Sequoia,2002,20699,22307,34830,48040,105262,118442,153278,169075,99319,69649,42811,36580
Sequoia,2001,24024,21150,29921,49621,107500,116582,156281,160246,95145,56346,32734,20777
Sequoia,2000,20615,22096,30659,48876,72244,122143,170186,145987,90312,59548,35298,20983
Sequoia,1999,21792,22085,38088,55179,72830,110573,163724,159339,100920,70423,38026,20250
Sequoia,1998,25980,22909,24621,34844,101486,114351,164805,163724,98354,60946,29297,19986
Sequoia,1997,14392,16713,42544,57862,153230,129033,175464,180201,116735,69268,32048,21441
Sequoia,1996,23783,22668,36223,43000,90135,112951,156392,160107,78200,57750,31823,25028
Sequoia,1995,19960,20012,23161,52389,81563,120054,206392,163897,59699,52890,30254,14311
Sequoia,1994,32358,20157,26541,33369,158701,129570,195432,176626,105941,83535,51145,20758
Sequoia,1993,21454,21625,27259,66686,129675,135275,195877,191021,143704,76426,35318,22232
Sequoia,1992,26510,26391,37107,66108,159885,135323,152436,135615,97943,69048,33538,21191
Sequoia,1991,26553,32228,31342,55763,122256,148495,194041,218094,132071,82800,47939,28696
Sequoia,1990,25321,27815,41787,83797,130625,143425,171477,181087,120922,67525,44399,25358
Sequoia,1989,28075,26134,42336,67884,117890,138160,177925,181660,124199,73557,45946,32254
Sequoia,1988,28557,33204,46932,61744,113130,135794,181437,180107,121807,66396,37818,24203
Sequoia,1987,34064,32340,32928,74103,132960,151253,204346,211905,125518,67273,43759,28940
Sequoia,1986,31886,21898,37530,58270,110011,144532,188908,198976,112033,68188,46739,37556
Sequoia,1985,28235,25850,32486,51586,93728,127956,167641,179823,116068,56798,29111,30186
Sequoia,1984,28507,29305,35855,52027,97382,138471,176356,176192,130606,55235,31687,28009
Sequoia,1983,23111,20739,20381,29103,36738,117644,189114,174687,122090,65245,31283,24098
Sequoia,1982,44619,27170,32604,48034,95434,128891,186728,219550,128234,62353,27422,19461
Sequoia,1981,27645,25681,21775,38978,90972,139285,187727,223365,158730,74986,54104,39754
Sequoia,1980,14085,18200,22749,30354,67881,115603,173770,185655,109331,59511,38554,26704
Sequoia,1979,25338,22334,24271,47410,63854,101152,146109,163110,102024,51956,32888,19130
Yosemite,2025,135684,120601,155758,297621,454491,584333,616551,594060,487733,445779,234709,151093
Yosemite,2024,127789,121027,147102,234232,409748,566111,574270,547217,537313,462467,230748,163783
Yosemite,2023,107256,107012,25005,205802,322308,487618,580357,593378,559464,488566,252249,168055
Yosemite,2022,137057,170196,192634,285601,380905,470045,396833,518407,424374,381612,178786,131100
